city,city_ascii,state_id,state_name,county_name,lat,lng,"city_ascii, state_id"
Green Bank,Green Bank,WV,West Virginia,Pocahontas,38.4267,-79.8343,"Green Bank, WV"
Canyon Creek,Canyon Creek,MT,Montana,Lewis and Clark,46.8053,-112.2544,"Canyon Creek, MT"
Swan,Swan,IA,Iowa,Marion,41.4676,-93.3096,"Swan, IA"
Agenda,Agenda,KS,Kansas,Republic,39.7066,-97.4322,"Agenda, KS"
Cutler,Cutler,IN,Indiana,Carroll,40.4764,-86.5242,"Cutler, IN"
Buckskin,Buckskin,IN,Indiana,Gibson,38.2284,-87.412,"Buckskin, IN"
Chili,Chili,IN,Indiana,Miami,40.86,-86.0264,"Chili, IN"
Green Valley,Green Valley,WI,Wisconsin,Shawano,44.7969,-88.2682,"Green Valley, WI"
La Salle,La Salle,MN,Minnesota,Watonwan,44.0711,-94.5713,"La Salle, MN"
Elsmore,Elsmore,KS,Kansas,Allen,37.7941,-95.15,"Elsmore, KS"
Tennant,Tennant,IA,Iowa,Shelby,41.5941,-95.445,"Tennant, IA"
Ravanna,Ravanna,MO,Missouri,Mercer,40.456,-93.462,"Ravanna, MO"
Ponderosa,Ponderosa,CA,California,Tulare,36.1051,-118.5293,"Ponderosa, CA"
McHenry,McHenry,ND,North Dakota,Foster,47.5764,-98.591,"McHenry, ND"
Millwood,Millwood,GA,Georgia,Ware,31.2656,-82.6603,"Millwood, GA"
New Haven,New Haven,IA,Iowa,Mitchell,43.2839,-92.6422,"New Haven, IA"
Laporte,Laporte,MN,Minnesota,Hubbard,47.2147,-94.7573,"Laporte, MN"
Chenega,Chenega,AK,Alaska,Chugach,60.0757,-148.0194,"Chenega, AK"
Nimmons,Nimmons,AR,Arkansas,Clay,36.3062,-90.0951,"Nimmons, AR"
Cayuse,Cayuse,OR,Oregon,Umatilla,45.6765,-118.5736,"Cayuse, OR"
Turton,Turton,SD,South Dakota,Spink,45.049,-98.0974,"Turton, SD"
Iola,Iola,IL,Illinois,Clay,38.8341,-88.6279,"Iola, IL"
Reserve,Reserve,KS,Kansas,Brown,39.977,-95.5654,"Reserve, KS"
Gulfcrest,Gulfcrest,AL,Alabama,Mobile,30.9925,-88.2399,"Gulfcrest, AL"
Montreal,Montreal,MO,Missouri,Camden,37.9697,-92.5894,"Montreal, MO"
McCool,McCool,MS,Mississippi,Attala,33.1995,-89.3418,"McCool, MS"
Balltown,Balltown,IA,Iowa,Dubuque,42.6371,-90.87,"Balltown, IA"
Kirkman,Kirkman,IA,Iowa,Shelby,41.7287,-95.2671,"Kirkman, IA"
Littlejohn Island,Littlejohn Island,ME,Maine,Cumberland,43.7599,-70.1284,"Littlejohn Island, ME"
Sun River,Sun River,MT,Montana,Cascade,47.5305,-111.724,"Sun River, MT"
Lake Mary Ronan,Lake Mary Ronan,MT,Montana,Lake,47.9291,-114.3889,"Lake Mary Ronan, MT"
Saxon,Saxon,WI,Wisconsin,Iron,46.494,-90.4098,"Saxon, WI"
Frisbee,Frisbee,MO,Missouri,Dunklin,36.3516,-90.0299,"Frisbee, MO"
Maverick Mountain,Maverick Mountain,MT,Montana,Beaverhead,45.4182,-113.1109,"Maverick Mountain, MT"
Hartville,Hartville,WY,Wyoming,Platte,42.3277,-104.7245,"Hartville, WY"
Bon Air,Bon Air,AL,Alabama,Talladega,33.2621,-86.3319,"Bon Air, AL"
Wheatland,Wheatland,ND,North Dakota,Cass,46.9049,-97.3455,"Wheatland, ND"
Fontanelle,Fontanelle,NE,Nebraska,Washington,41.5383,-96.4271,"Fontanelle, NE"
Barrville,Barrville,PA,Pennsylvania,Mifflin,40.6664,-77.6831,"Barrville, PA"
Takotna,Takotna,AK,Alaska,Yukon-Koyukuk,62.9827,-156.0838,"Takotna, AK"
Easton,Easton,WI,Wisconsin,Adams,43.8383,-89.8049,"Easton, WI"
Tillatoba,Tillatoba,MS,Mississippi,Yalobusha,33.9851,-89.896,"Tillatoba, MS"
Gardner,Gardner,CO,Colorado,Huerfano,37.7889,-105.1644,"Gardner, CO"
Scarville,Scarville,IA,Iowa,Winnebago,43.4707,-93.6152,"Scarville, IA"
Wilburton Number Two,Wilburton Number Two,PA,Pennsylvania,Columbia,40.8185,-76.3789,"Wilburton Number Two, PA"
San Acacio,San Acacio,CO,Colorado,Costilla,37.2086,-105.5667,"San Acacio, CO"
St. George,St. George,AK,Alaska,Aleutians West,56.5791,-169.6114,"St. George, AK"
Mauckport,Mauckport,IN,Indiana,Harrison,38.026,-86.1997,"Mauckport, IN"
Stratford,Stratford,SD,South Dakota,Brown,45.3174,-98.3043,"Stratford, SD"
Tschetter Colony,Tschetter Colony,SD,South Dakota,Hutchinson,43.3681,-97.688,"Tschetter Colony, SD"
House,House,NM,New Mexico,Quay,34.6492,-103.9038,"House, NM"
Pelican,Pelican,AK,Alaska,Hoonah-Angoon,57.9576,-136.2176,"Pelican, AK"
Vanderwagen,Vanderwagen,NM,New Mexico,McKinley,35.2714,-108.7517,"Vanderwagen, NM"
Beaver,Beaver,IA,Iowa,Boone,42.0383,-94.14,"Beaver, IA"
Oakhaven,Oakhaven,AR,Arkansas,Hempstead,33.7293,-93.6205,"Oakhaven, AR"
Annapolis,Annapolis,IL,Illinois,Crawford,39.1431,-87.8172,"Annapolis, IL"
Clinton,Clinton,NE,Nebraska,Sheridan,42.7598,-102.3479,"Clinton, NE"
Waldenburg,Waldenburg,AR,Arkansas,Poinsett,35.5652,-90.9346,"Waldenburg, AR"
Viola,Viola,ID,Idaho,Latah,46.8389,-117.0189,"Viola, ID"
West Dummerston,West Dummerston,VT,Vermont,Windham,42.9299,-72.6128,"West Dummerston, VT"
Manuel Garcia,Manuel Garcia,TX,Texas,Starr,26.3337,-98.7017,"Manuel Garcia, TX"
Martin,Martin,ND,North Dakota,Sheridan,47.8268,-100.1154,"Martin, ND"
Souris,Souris,ND,North Dakota,Bottineau,48.91,-100.6826,"Souris, ND"
New Lisbon,New Lisbon,IN,Indiana,Henry,39.8634,-85.263,"New Lisbon, IN"
